ClusterId,Latitude,Longitude
1,40.755403,-73.976640
1,40.755545,-73.976850
1,40.755417,-73.977045
1,40.755301,-73.977180
1,40.755347,-73.977417
1,40.755100,-73.977438
1,40.754964,-73.977622
1,40.754770,-73.977762
1,40.754541,-73.977939
1,40.754502,-73.977986
1,40.754210,-73.978040
1,40.754205,-73.978255
1,40.754144,-73.978451
1,40.753998,-73.978622
1,40.753860,-73.978887
1,40.753752,-73.979126
1,40.753485,-73.979146
1,40.753360,-73.979238
1,40.753082,-73.979230
1,40.753002,-73.979382
1,40.752778,-73.979568
1,40.752497,-73.979569
1,40.752394,-73.979797
1,40.752170,-73.979655
1,40.751903,-73.979739
1,40.751850,-73.980023
1,40.751911,-73.979994
1,40.751836,-73.979960
1,40.751920,-73.979893
1,40.751683,-73.979767
1,40.751485,-73.979840
1,40.751393,-73.980087
1,40.751276,-73.980213
1,40.751171,-73.980450
1,40.750974,-73.980613
1,40.751015,-73.980789
1,40.750952,-73.980963
1,40.750683,-73.980630
1,40.750587,-73.980822
1,40.750393,-73.980942
1,40.750197,-73.981095
1,40.750056,-73.981302
1,40.749878,-73.981524
1,40.749727,-73.981535
1,40.749462,-73.981675
1,40.749368,-73.981745
1,40.749161,-73.981685
1,40.748917,-73.981753
1,40.748705,-73.981837
1,40.748550,-73.982043
1,40.748482,-73.982297
1,40.748400,-73.982553
1,40.748167,-73.982657
1,40.747975,-73.982795
1,40.747908,-73.982970
1,40.747730,-73.983188
1,40.747619,-73.983445
1,40.747539,-73.983047
1,40.747340,-73.983170
1,40.747257,-73.983434
1,40.747192,-73.983672
1,40.747019,-73.983774
1,40.746948,-73.984033
1,40.746897,-73.984128
1,40.746865,-73.983606
1,40.746675,-73.983823
1,40.746458,-73.983930
1,40.746319,-73.984106
1,40.746203,-73.984192
1,40.746140,-73.984392
1,40.746142,-73.984380
1,40.746000,-73.984233
1,40.745773,-73.984300
1,40.745615,-73.984407
1,40.745593,-73.984358
1,40.745317,-73.984345
1,40.745523,-73.984302
1,40.745612,-73.984327
1,40.745542,-73.984152
1,40.745688,-73.984547
1,40.745643,-73.984821
1,40.745548,-73.984997
1,40.745427,-73.984715
1,40.745218,-73.984925
1,40.745003,-73.985050
1,40.745048,-73.985272
1,40.744731,-73.985059
1,40.744535,-73.985053
1,40.744401,-73.985198
1,40.744180,-73.985353
1,40.744102,-73.985584
1,40.744058,-73.985830
1,40.743947,-73.985867
1,40.743683,-73.985904
1,40.743725,-73.986092
1,40.743505,-73.986002
1,40.743253,-73.986138
1,40.743158,-73.986252
1,40.742959,-73.986472
1,40.742751,-73.986546
1,40.742708,-73.986808
1,40.742415,-73.986828
1,40.742190,-73.986937
1,40.742195,-73.987104
1,40.742055,-73.986988
1,40.741888,-73.987128
1,40.741975,-73.986938
1,40.742095,-73.986911
1,40.742215,-73.986869
1,40.742367,-73.986958
1,40.742473,-73.986743
1,40.742524,-73.986556
1,40.742690,-73.986677
1,40.742837,-73.986758
