ClusterId,Latitude,Longitude,Size
203,40.765375,-73.958173,23
204,40.714030,-73.992516,23
205,40.688413,-73.995233,22
206,40.764083,-73.998528,22
207,40.772541,-73.977351,22
208,40.715315,-73.984406,22
209,40.702801,-74.014165,22
210,40.706403,-74.016236,21
211,40.743238,-73.917397,21
212,40.684727,-73.977822,21
213,40.800584,-73.965970,21
214,40.769770,-73.965055,21
215,40.744945,-73.932155,21
216,40.792203,-73.946446,20
217,40.754119,-73.942308,20
218,40.763441,-73.928439,20
219,40.823039,-73.953083,19
220,40.804548,-73.955229,19
221,40.646763,-73.778398,19
222,40.769081,-73.865552,19
223,40.751137,-73.940175,29
224,40.735834,-74.006686,19
225,40.713488,-74.011129,18
226,40.795480,-73.965688,18
227,40.743538,-73.919978,18
228,40.768287,-73.992949,18
229,40.712725,-73.992484,18
230,40.716803,-73.989055,18
231,40.769732,-73.950815,17
232,40.806367,-73.942297,17
233,40.744850,-73.948972,34
234,40.730363,-73.994640,17
235,40.750412,-73.939347,17
236,40.718859,-74.006558,16
237,40.755459,-74.002278,16
238,40.765255,-73.997736,16
239,40.841117,-73.940012,16
240,40.735687,-73.975675,16
241,40.720106,-73.993052,16
242,40.686777,-73.979306,16
243,40.688709,-73.989102,16
244,40.751370,-74.006906,15
245,40.677890,-73.972981,15
246,40.702255,-73.989635,15
247,40.817566,-73.957070,15
248,40.762978,-73.989497,15
249,40.798229,-73.952379,15
250,40.811439,-73.957654,15
251,40.765783,-73.926400,16
252,40.780262,-73.987557,14
253,40.648601,-73.789144,14
254,40.765360,-73.931672,14
255,40.813263,-73.956342,14
256,40.768669,-73.949872,14
257,40.744137,-73.925384,14
258,40.752177,-73.995518,14
259,40.791539,-73.946786,14
260,40.686985,-73.990270,14
261,40.797612,-73.967795,13
262,40.791247,-73.951341,13
263,40.806126,-73.954161,13
264,40.796324,-73.949647,13
265,40.752264,-73.939037,16
266,40.757595,-73.998506,13
267,40.732947,-73.979667,13
268,40.708686,-74.004966,13
269,40.736490,-73.977320,13
270,40.768581,-73.864146,13
271,40.783171,-73.951056,13
272,40.700577,-73.987889,12
273,40.680974,-73.998820,12
274,40.772525,-73.869821,14
275,40.761145,-73.995772,37
276,40.691765,-73.982259,12
277,40.737981,-73.999583,12
278,40.708445,-74.015229,12
279,40.719999,-73.995587,12
280,40.687363,-73.995741,12
281,40.717038,-73.956541,12
282,40.748588,-74.008074,12
283,40.646509,-73.790748,12
284,40.761947,-73.925389,12
285,40.767583,-73.993496,12
286,40.713587,-74.006606,12
287,40.709390,-74.001938,12
288,40.709827,-74.008642,12
289,40.740237,-74.003679,12
290,40.722185,-73.991822,12
291,40.812166,-73.961027,11
292,40.744785,-74.008331,11
293,40.685754,-73.991128,11
294,40.718001,-74.003130,11
295,40.680040,-73.974475,11
296,40.800439,-73.935347,10
297,40.839501,-73.941108,10
298,40.752068,-73.929909,10
299,40.709737,-74.004745,10
300,40.810916,-73.952595,10
301,40.742213,-73.979435,10
302,40.735240,-73.974638,10
303,40.818666,-73.956312,10
304,40.718308,-73.998102,10
305,40.758753,-73.961239,10
306,40.697563,-73.993027,10
307,40.714350,-74.000304,10
308,40.802362,-73.933973,10
309,40.732643,-73.977216,10
310,40.731737,-73.993262,10
311,40.819696,-73.960013,10
312,40.794491,-73.939637,10
313,40.731439,-73.996896,10
314,40.717827,-73.988611,10
315,40.727239,-73.999717,10
316,40.800431,-73.957709,9
317,40.761319,-73.930492,9
318,40.751165,-73.934681,22
319,40.713373,-73.977935,9
320,40.769719,-73.928005,9
321,40.721409,-73.992202,9
322,40.775323,-73.951799,9
323,40.754613,-74.000010,9
324,40.736211,-73.996118,9
325,40.681292,-73.994252,9
326,40.722853,-74.004384,9
327,40.748223,-73.995420,9
328,40.704688,-74.016419,9
329,40.646240,-73.785649,9
330,40.812654,-73.937768,9
331,40.768229,-73.979745,9
332,40.797695,-73.948548,9
333,40.827642,-73.949701,9
334,40.743737,-73.996757,9
335,40.684442,-73.978407,9
336,40.758493,-73.933237,9
337,40.800441,-73.954711,9
338,40.695088,-74.177324,10
339,40.759778,-73.936804,9
340,40.744665,-73.929817,9
341,40.718029,-73.993473,8
342,40.760992,-73.992514,8
343,40.676389,-73.971867,8
344,40.802645,-73.956731,8
345,40.774453,-73.979787,8
346,40.763624,-73.991079,8
347,40.788334,-73.980702,8
348,40.644903,-73.792965,8
349,40.748971,-73.997145,8
350,40.705891,-73.807538,8
351,40.738071,-73.998701,8
352,40.718785,-73.995643,8
353,40.731758,-74.003198,8
354,40.738902,-73.996622,8
355,40.767560,-73.995963,8
356,40.801162,-73.959829,8
357,40.810340,-73.951216,8
358,40.753344,-73.907181,8
359,40.813801,-73.936967,8
360,40.744830,-73.934348,8
361,40.694782,-73.988686,8
362,40.715068,-74.012508,8
363,40.769918,-73.866960,8
364,40.722286,-73.977080,8
365,40.696098,-73.990042,8
