ClusterId,Latitude,Longitude
1,40.755823,-73.964593
1,40.755848,-73.964657
1,40.755833,-73.964607
1,40.755846,-73.964870
1,40.755847,-73.964865
1,40.755875,-73.964807
1,40.755864,-73.964794
1,40.755883,-73.964777
1,40.755917,-73.964748
1,40.755841,-73.964901
1,40.755856,-73.964886
1,40.755924,-73.964794
1,40.755932,-73.964742
1,40.755938,-73.964752
1,40.755938,-73.964693
1,40.755945,-73.964777
1,40.755857,-73.964082
1,40.755997,-73.964307
1,40.756042,-73.964113
1,40.755798,-73.964023
1,40.756018,-73.964682
1,40.756023,-73.964350
1,40.756061,-73.964462
1,40.756070,-73.964441
1,40.755885,-73.964897
1,40.755929,-73.964854
1,40.756000,-73.964763
1,40.755979,-73.964754
1,40.756124,-73.964750
1,40.756102,-73.964557
1,40.756105,-73.964525
1,40.756147,-73.964618
1,40.756123,-73.964505
1,40.756135,-73.964511
1,40.756180,-73.964572
1,40.756158,-73.964366
1,40.756147,-73.964338
1,40.756117,-73.964310
1,40.756172,-73.964287
1,40.756208,-73.964438
1,40.756242,-73.964362
1,40.756226,-73.964336
1,40.756227,-73.964320
1,40.756245,-73.964298
1,40.756229,-73.964278
1,40.756252,-73.964338
1,40.756252,-73.964308
1,40.756277,-73.964315
1,40.756291,-73.964291
1,40.756204,-73.964265
1,40.756218,-73.964200
1,40.756298,-73.964033
1,40.756283,-73.964430
1,40.756312,-73.964342
1,40.756310,-73.964329
1,40.756305,-73.964302
1,40.756326,-73.964551
1,40.756303,-73.964471
1,40.756316,-73.964483
1,40.756378,-73.964647
1,40.756372,-73.964615
1,40.756389,-73.964652
1,40.756390,-73.964440
1,40.756368,-73.964362
1,40.756440,-73.964517
1,40.756427,-73.964433
1,40.756430,-73.964408
1,40.756350,-73.964300
1,40.756371,-73.964284
1,40.756423,-73.964345
1,40.756424,-73.964336
1,40.756401,-73.964275
1,40.756414,-73.964275
1,40.756417,-73.964275
1,40.756432,-73.964295
1,40.756438,-73.964299
1,40.756442,-73.964277
1,40.756332,-73.964252
1,40.756357,-73.964244
1,40.756377,-73.964265
1,40.756368,-73.964203
1,40.756417,-73.964232
1,40.756387,-73.964209
1,40.756421,-73.964212
1,40.756453,-73.964259
1,40.756412,-73.964188
1,40.756367,-73.964132
1,40.756462,-73.964319
1,40.756488,-73.964543
1,40.756495,-73.964472
1,40.756488,-73.964346
1,40.756483,-73.964333
1,40.756442,-73.964152
1,40.756520,-73.964414
1,40.756523,-73.964297
1,40.756502,-73.964247
1,40.756487,-73.964150
1,40.756549,-73.964412
1,40.756557,-73.964352
1,40.756561,-73.964279
1,40.756549,-73.964199
1,40.756539,-73.964155
1,40.756387,-73.964009
1,40.756413,-73.964015
1,40.756248,-73.963873
1,40.756548,-73.963982
1,40.756567,-73.964578
1,40.756566,-73.964870
1,40.756617,-73.964290
